bin_number,bin_length,network
581737,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581736,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581735,6,CARTE_BANCAIRE
581734,6,CARTE_BANCAIRE
581733,6,CARTE_BANCAIRE
581731,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581729,6,CARTE_BANCAIRE
581728,6,CARTE_BANCAIRE
581727,6,CARTE_BANCAIRE
581726,6,CARTE_BANCAIRE
581725,6,CARTE_BANCAIRE
581723,6,CARTE_BANCAIRE
581722,6,CARTE_BANCAIRE
581721,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581720,6,CARTE_BANCAIRE
581719,6,CARTE_BANCAIRE
581715,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581713,6,CARTE_BANCAIRE
581712,6,CARTE_BANCAIRE
581711,6,CARTE_BANCAIRE
581710,6,CARTE_BANCAIRE
581709,6,CARTE_BANCAIRE
581708,6,CARTE_BANCAIRE
581707,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
581706,6,CARTE_BANCAIRE
581705,6,CARTE_BANCAIRE
581704,6,CARTE_BANCAIRE
581703,6,CARTE_BANCAIRE
581701,6,CARTE_BANCAIRE
581700,6,CARTE_BANCAIRE
561244,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
561243,6,"MASTER, MAESTRO, CARTE_BANCAIRE"
560408,6,CARTE_BANCAIRE
559810,6,"MASTER, CARTE_BANCAIRE"
559809,6,"MASTER, CARTE_BANCAIRE"
559618,6,"MASTER, CARTE_BANCAIRE"
558929,6,"MASTER, CARTE_BANCAIRE"
557008,6,"MASTER, CARTE_BANCAIRE"
554965,6,"MASTER, CARTE_BANCAIRE"
554260,6,"MASTER, CARTE_BANCAIRE"
554205,6,"MASTER, CARTE_BANCAIRE"
553993,6,"MASTER, CARTE_BANCAIRE"
553979,6,"MASTER, CARTE_BANCAIRE"
549859,6,"MASTER, CARTE_BANCAIRE"
549858,6,"MASTER, CARTE_BANCAIRE"
545157,6,"MASTER, CARTE_BANCAIRE"
542848,6,"MASTER, CARTE_BANCAIRE"
538011,6,"MASTER, CARTE_BANCAIRE"
535029,6,"MASTER, CARTE_BANCAIRE"
531195,6,"MASTER, CARTE_BANCAIRE"
530901,6,"MASTER, CARTE_BANCAIRE"
529498,6,"MASTER, CARTE_BANCAIRE"
529493,6,"MASTER, CARTE_BANCAIRE"
529484,6,"MASTER, CARTE_BANCAIRE"
529483,6,"MASTER, CARTE_BANCAIRE"
529473,6,"MASTER, CARTE_BANCAIRE"
529470,6,"MASTER, CARTE_BANCAIRE"
529469,6,"MASTER, CARTE_BANCAIRE"
529468,6,"MASTER, CARTE_BANCAIRE"
529467,6,"MASTER, CARTE_BANCAIRE"
529466,6,"MASTER, CARTE_BANCAIRE"
529465,6,"MASTER, CARTE_BANCAIRE"
529464,6,"MASTER, CARTE_BANCAIRE"
529457,6,"MASTER, CARTE_BANCAIRE"
529447,6,"MASTER, CARTE_BANCAIRE"
529440,6,"MASTER, CARTE_BANCAIRE"
529430,6,"MASTER, CARTE_BANCAIRE"
529331,6,"MASTER, CARTE_BANCAIRE"
529227,6,"MASTER, CARTE_BANCAIRE"
527429,6,CARTE_BANCAIRE
521662,6,"MASTER, CARTE_BANCAIRE"
518101,6,"MASTER, CARTE_BANCAIRE"
517647,6,"MASTER, CARTE_BANCAIRE"
515214,6,"MASTER, CARTE_BANCAIRE"
513938,6,"MASTER, CARTE_BANCAIRE"
513900,6,"MASTER, CARTE_BANCAIRE"
513858,6,"MASTER, CARTE_BANCAIRE"
513854,6,"MASTER, CARTE_BANCAIRE"
513852,6,"MASTER, CARTE_BANCAIRE"
513799,6,"MASTER, CARTE_BANCAIRE"
513782,6,"MASTER, CARTE_BANCAIRE"
513761,6,"MASTER, CARTE_BANCAIRE"
513759,6,"MASTER, CARTE_BANCAIRE"
513758,6,"MASTER, CARTE_BANCAIRE"
513753,6,"MASTER, CARTE_BANCAIRE"
513752,6,"MASTER, CARTE_BANCAIRE"
513751,6,"MASTER, CARTE_BANCAIRE"
513750,6,"MASTER, CARTE_BANCAIRE"
513742,6,"MASTER, CARTE_BANCAIRE"
513738,6,"MASTER, CARTE_BANCAIRE"
513737,6,"MASTER, CARTE_BANCAIRE"
513736,6,"MASTER, CARTE_BANCAIRE"
513735,6,"MASTER, CARTE_BANCAIRE"
513734,6,"MASTER, CARTE_BANCAIRE"
513722,6,"MASTER, CARTE_BANCAIRE"
513720,6,"MASTER, CARTE_BANCAIRE"
513714,6,"MASTER, CARTE_BANCAIRE"
513712,6,"MASTER, CARTE_BANCAIRE"
513711,6,"MASTER, CARTE_BANCAIRE"
513706,6,"MASTER, CARTE_BANCAIRE"
513705,6,"MASTER, CARTE_BANCAIRE"
513699,6,"MASTER, CARTE_BANCAIRE"
513698,6,"MASTER, CARTE_BANCAIRE"
513697,6,"MASTER, CARTE_BANCAIRE"
513672,6,"MASTER, CARTE_BANCAIRE"
513664,6,"MASTER, CARTE_BANCAIRE"
513655,6,"MASTER, CARTE_BANCAIRE"
513650,6,"MASTER, CARTE_BANCAIRE"
513645,6,"MASTER, CARTE_BANCAIRE"
513633,6,"MASTER, CARTE_BANCAIRE"
513624,6,"MASTER, CARTE_BANCAIRE"
513613,6,"MASTER, CARTE_BANCAIRE"
513612,6,"MASTER, CARTE_BANCAIRE"
513608,6,"MASTER, CARTE_BANCAIRE"
513607,6,"MASTER, CARTE_BANCAIRE"
513606,6,"MASTER, CARTE_BANCAIRE"
513604,6,"MASTER, CARTE_BANCAIRE"
513601,6,"MASTER, CARTE_BANCAIRE"
513600,6,"MASTER, CARTE_BANCAIRE"
513570,6,"MASTER, CARTE_BANCAIRE"
513569,6,"MASTER, CARTE_BANCAIRE"
513564,6,"MASTER, CARTE_BANCAIRE"
513563,6,"MASTER, CARTE_BANCAIRE"
513561,6,"MASTER, CARTE_BANCAIRE"
513560,6,"MASTER, CARTE_BANCAIRE"
513559,6,"MASTER, CARTE_BANCAIRE"
513556,6,"MASTER, CARTE_BANCAIRE"
513554,6,"MASTER, CARTE_BANCAIRE"
513553,6,"MASTER, CARTE_BANCAIRE"
513552,6,"MASTER, CARTE_BANCAIRE"
513551,6,"MASTER, CARTE_BANCAIRE"
513549,6,"MASTER, CARTE_BANCAIRE"
513544,6,"MASTER, CARTE_BANCAIRE"
513543,6,"MASTER, CARTE_BANCAIRE"
513531,6,"MASTER, CARTE_BANCAIRE"
513528,6,"MASTER, CARTE_BANCAIRE"
513527,6,"MASTER, CARTE_BANCAIRE"
513525,6,"MASTER, CARTE_BANCAIRE"
513524,6,"MASTER, CARTE_BANCAIRE"
513523,6,"MASTER, CARTE_BANCAIRE"
513520,6,"MASTER, CARTE_BANCAIRE"
513518,6,"MASTER, CARTE_BANCAIRE"
513517,6,"MASTER, CARTE_BANCAIRE"
513515,6,"MASTER, CARTE_BANCAIRE"
513514,6,"MASTER, CARTE_BANCAIRE"
513511,6,"MASTER, CARTE_BANCAIRE"
513508,6,"MASTER, CARTE_BANCAIRE"
513506,6,"MASTER, CARTE_BANCAIRE"
513505,6,"MASTER, CARTE_BANCAIRE"
513501,6,"MASTER, CARTE_BANCAIRE"
513500,6,"MASTER, CARTE_BANCAIRE"
513489,6,"MASTER, CARTE_BANCAIRE"
513453,6,"MASTER, CARTE_BANCAIRE"
513418,6,"MASTER, CARTE_BANCAIRE"
513415,6,"MASTER, CARTE_BANCAIRE"
513414,6,"MASTER, CARTE_BANCAIRE"
513413,6,"MASTER, CARTE_BANCAIRE"
513412,6,"MASTER, CARTE_BANCAIRE"
513411,6,"MASTER, CARTE_BANCAIRE"
513389,6,"MASTER, CARTE_BANCAIRE"
513387,6,"MASTER, CARTE_BANCAIRE"
513381,6,"MASTER, CARTE_BANCAIRE"
513380,6,"MASTER, CARTE_BANCAIRE"
513376,6,"MASTER, CARTE_BANCAIRE"
513375,6,"MASTER, CARTE_BANCAIRE"
513374,6,"MASTER, CARTE_BANCAIRE"
513356,6,"MASTER, CARTE_BANCAIRE"
513352,6,"MASTER, CARTE_BANCAIRE"
513351,6,"MASTER, CARTE_BANCAIRE"
513320,6,"MASTER, CARTE_BANCAIRE"
513311,6,"MASTER, CARTE_BANCAIRE"
513310,6,"MASTER, CARTE_BANCAIRE"
513309,6,"MASTER, CARTE_BANCAIRE"
513299,6,"MASTER, CARTE_BANCAIRE"
513291,6,"MASTER, CARTE_BANCAIRE"
513290,6,"MASTER, CARTE_BANCAIRE"
513288,6,"MASTER, CARTE_BANCAIRE"
513287,6,"MASTER, CARTE_BANCAIRE"
513285,6,"MASTER, CARTE_BANCAIRE"
513284,6,"MASTER, CARTE_BANCAIRE"
513278,6,"MASTER, CARTE_BANCAIRE"
513273,6,"MASTER, CARTE_BANCAIRE"
513271,6,"MASTER, CARTE_BANCAIRE"
513270,6,"MASTER, CARTE_BANCAIRE"
513269,6,"MASTER, CARTE_BANCAIRE"
513268,6,"MASTER, CARTE_BANCAIRE"
513267,6,"MASTER, CARTE_BANCAIRE"
513265,6,"MASTER, CARTE_BANCAIRE"
513264,6,"MASTER, CARTE_BANCAIRE"
513247,6,"MASTER, CARTE_BANCAIRE"
513246,6,"MASTER, CARTE_BANCAIRE"
513245,6,"MASTER, CARTE_BANCAIRE"
513240,6,"MASTER, CARTE_BANCAIRE"
513235,6,"MASTER, CARTE_BANCAIRE"
513233,6,"MASTER, CARTE_BANCAIRE"
513231,6,"MASTER, CARTE_BANCAIRE"
513230,6,"MASTER, CARTE_BANCAIRE"
513226,6,"MASTER, CARTE_BANCAIRE"
513224,6,"MASTER, CARTE_BANCAIRE"
513221,6,"MASTER, CARTE_BANCAIRE"
513220,6,"MASTER, CARTE_BANCAIRE"
513219,6,"MASTER, CARTE_BANCAIRE"
513218,6,"MASTER, CARTE_BANCAIRE"
513217,6,"MASTER, CARTE_BANCAIRE"
513215,6,"MASTER, CARTE_BANCAIRE"
513214,6,"MASTER, CARTE_BANCAIRE"
513031,6,"MASTER, CARTE_BANCAIRE"
513030,6,"MASTER, CARTE_BANCAIRE"
513029,6,"MASTER, CARTE_BANCAIRE"
513028,6,"MASTER, CARTE_BANCAIRE"
513024,6,"MASTER, CARTE_BANCAIRE"
513023,6,"MASTER, CARTE_BANCAIRE"
507595,6,CARTE_BANCAIRE
499092,6,"VISA, CARTE_BANCAIRE"
499068,6,"VISA, CARTE_BANCAIRE"
497999,6,"VISA, CARTE_BANCAIRE"
497998,6,"VISA, CARTE_BANCAIRE"
497995,6,"VISA, CARTE_BANCAIRE"
497993,6,"VISA, CARTE_BANCAIRE"
497987,6,"VISA, CARTE_BANCAIRE"
497986,6,"VISA, CARTE_BANCAIRE"
497983,6,"VISA, CARTE_BANCAIRE"
497982,6,"VISA, CARTE_BANCAIRE"
497974,6,"VISA, CARTE_BANCAIRE"
497972,6,"VISA, CARTE_BANCAIRE"
497971,6,"VISA, CARTE_BANCAIRE"
497969,6,"VISA, CARTE_BANCAIRE"
497968,6,"VISA, CARTE_BANCAIRE"
497967,6,"VISA, CARTE_BANCAIRE"
497961,6,"VISA, CARTE_BANCAIRE"
497959,6,"VISA, CARTE_BANCAIRE"
497958,6,"VISA, CARTE_BANCAIRE"
497957,6,"VISA, CARTE_BANCAIRE"
497955,6,"VISA, CARTE_BANCAIRE"
497954,6,"VISA, CARTE_BANCAIRE"
497953,6,"VISA, CARTE_BANCAIRE"
497952,6,"VISA, CARTE_BANCAIRE"
497951,6,"VISA, CARTE_BANCAIRE"
497950,6,"VISA, CARTE_BANCAIRE"
497948,6,"VISA, CARTE_BANCAIRE"
497947,6,"VISA, CARTE_BANCAIRE"
497946,6,"VISA, CARTE_BANCAIRE"
497944,6,"VISA, CARTE_BANCAIRE"
497941,6,"VISA, CARTE_BANCAIRE"
497934,6,"VISA, CARTE_BANCAIRE"
497933,6,"VISA, CARTE_BANCAIRE"
497925,6,"VISA, CARTE_BANCAIRE"
497920,6,"VISA, CARTE_BANCAIRE"
497918,6,"VISA, CARTE_BANCAIRE"
497916,6,"VISA, CARTE_BANCAIRE"
497911,6,"VISA, CARTE_BANCAIRE"
497909,6,"VISA, CARTE_BANCAIRE"
497907,6,"VISA, CARTE_BANCAIRE"
497906,6,"VISA, CARTE_BANCAIRE"
497905,6,"VISA, CARTE_BANCAIRE"
497904,6,"VISA, CARTE_BANCAIRE"
497903,6,"VISA, CARTE_BANCAIRE"
497901,6,"VISA, CARTE_BANCAIRE"
497900,6,"VISA, CARTE_BANCAIRE"
497898,6,"VISA, CARTE_BANCAIRE"
497897,6,"VISA, CARTE_BANCAIRE"
497896,6,"VISA, CARTE_BANCAIRE"
497895,6,"VISA, CARTE_BANCAIRE"
497894,6,"VISA, CARTE_BANCAIRE"
497893,6,"VISA, CARTE_BANCAIRE"
497891,6,"VISA, CARTE_BANCAIRE"
497889,6,"VISA, CARTE_BANCAIRE"
497885,6,"VISA, CARTE_BANCAIRE"
497883,6,"VISA, CARTE_BANCAIRE"
497880,6,"VISA, CARTE_BANCAIRE"
497872,6,"VISA, CARTE_BANCAIRE"
497869,6,"VISA, CARTE_BANCAIRE"
497866,6,"VISA, CARTE_BANCAIRE"
497863,6,"VISA, CARTE_BANCAIRE"
497861,6,"VISA, CARTE_BANCAIRE"
497846,6,"VISA, CARTE_BANCAIRE"
497844,6,"VISA, CARTE_BANCAIRE"
497835,6,"VISA, CARTE_BANCAIRE"
497821,6,"VISA, CARTE_BANCAIRE"
497820,6,"VISA, CARTE_BANCAIRE"
497800,6,"VISA, CARTE_BANCAIRE"
497785,6,"VISA, CARTE_BANCAIRE"
497784,6,"VISA, CARTE_BANCAIRE"
497781,6,"VISA, CARTE_BANCAIRE"
497773,6,"VISA, CARTE_BANCAIRE"
497770,6,"VISA, CARTE_BANCAIRE"
497769,6,"VISA, CARTE_BANCAIRE"
497768,6,"VISA, CARTE_BANCAIRE"
497767,6,"VISA, CARTE_BANCAIRE"
497766,6,"VISA, CARTE_BANCAIRE"
497765,6,"VISA, CARTE_BANCAIRE"
497764,6,"VISA, CARTE_BANCAIRE"
497763,6,"VISA, CARTE_BANCAIRE"
497760,6,"VISA, CARTE_BANCAIRE"
497744,6,"VISA, CARTE_BANCAIRE"
497743,6,"VISA, CARTE_BANCAIRE"
497742,6,"VISA, CARTE_BANCAIRE"
497741,6,"VISA, CARTE_BANCAIRE"
497740,6,"VISA, CARTE_BANCAIRE"
497738,6,"VISA, CARTE_BANCAIRE"
497732,6,"VISA, CARTE_BANCAIRE"
497731,6,"VISA, CARTE_BANCAIRE"
497730,6,"VISA, CARTE_BANCAIRE"
497729,6,"VISA, CARTE_BANCAIRE"
497724,6,"VISA, CARTE_BANCAIRE"
497723,6,"VISA, CARTE_BANCAIRE"
497718,6,"VISA, CARTE_BANCAIRE"
497717,6,"VISA, CARTE_BANCAIRE"
497716,6,"VISA, CARTE_BANCAIRE"
497715,6,"VISA, CARTE_BANCAIRE"
497714,6,"VISA, CARTE_BANCAIRE"
497706,6,"VISA, CARTE_BANCAIRE"
497705,6,"VISA, CARTE_BANCAIRE"
497697,6,"VISA, CARTE_BANCAIRE"
497695,6,"VISA, CARTE_BANCAIRE"
497692,6,"VISA, CARTE_BANCAIRE"
497691,6,"VISA, CARTE_BANCAIRE"
497688,6,"VISA, CARTE_BANCAIRE"
497686,6,"VISA, CARTE_BANCAIRE"
497685,6,"VISA, CARTE_BANCAIRE"
497684,6,"VISA, CARTE_BANCAIRE"
497683,6,"VISA, CARTE_BANCAIRE"
497682,6,"VISA, CARTE_BANCAIRE"
497677,6,"VISA, CARTE_BANCAIRE"
497668,6,"VISA, CARTE_BANCAIRE"
497665,6,"VISA, CARTE_BANCAIRE"
497663,6,"VISA, CARTE_BANCAIRE"
497661,6,"VISA, CARTE_BANCAIRE"
497660,6,"VISA, CARTE_BANCAIRE"
497659,6,"VISA, CARTE_BANCAIRE"
497657,6,"VISA, CARTE_BANCAIRE"
497656,6,"VISA, CARTE_BANCAIRE"
497654,6,"VISA, CARTE_BANCAIRE"
497646,6,"VISA, CARTE_BANCAIRE"
497645,6,"VISA, CARTE_BANCAIRE"
497640,6,"VISA, CARTE_BANCAIRE"
497639,6,"VISA, CARTE_BANCAIRE"
497636,6,"VISA, CARTE_BANCAIRE"
497634,6,"VISA, CARTE_BANCAIRE"
497633,6,"VISA, CARTE_BANCAIRE"
497632,6,"VISA, CARTE_BANCAIRE"
497628,6,"VISA, CARTE_BANCAIRE"
497627,6,"VISA, CARTE_BANCAIRE"
497626,6,"VISA, CARTE_BANCAIRE"
497624,6,"VISA, CARTE_BANCAIRE"
497623,6,"VISA, CARTE_BANCAIRE"
497620,6,"VISA, CARTE_BANCAIRE"
497619,6,"VISA, CARTE_BANCAIRE"
497618,6,"VISA, CARTE_BANCAIRE"
497617,6,"VISA, CARTE_BANCAIRE"
497616,6,"VISA, CARTE_BANCAIRE"
497614,6,"VISA, CARTE_BANCAIRE"
497612,6,"VISA, CARTE_BANCAIRE"
497611,6,"VISA, CARTE_BANCAIRE"
497610,6,"VISA, CARTE_BANCAIRE"
497608,6,"VISA, CARTE_BANCAIRE"
497606,6,"VISA, CARTE_BANCAIRE"
497604,6,"VISA, CARTE_BANCAIRE"
497602,6,"VISA, CARTE_BANCAIRE"
497594,6,"VISA, CARTE_BANCAIRE"
497591,6,"VISA, CARTE_BANCAIRE"
497590,6,"VISA, CARTE_BANCAIRE"
497584,6,"VISA, CARTE_BANCAIRE"
497577,6,"VISA, CARTE_BANCAIRE"
497559,6,"VISA, CARTE_BANCAIRE"
497550,6,"VISA, CARTE_BANCAIRE"
497529,6,"VISA, CARTE_BANCAIRE"
497525,6,"VISA, CARTE_BANCAIRE"
497523,6,"VISA, CARTE_BANCAIRE"
497510,6,CARTE_BANCAIRE
497508,6,"VISA, CARTE_BANCAIRE"
497501,6,"VISA, CARTE_BANCAIRE"
497500,6,"VISA, CARTE_BANCAIRE"
497498,6,"VISA, CARTE_BANCAIRE"
497496,6,"VISA, CARTE_BANCAIRE"
497495,6,"VISA, CARTE_BANCAIRE"
497492,6,"VISA, CARTE_BANCAIRE"
497491,6,"VISA, CARTE_BANCAIRE"
497490,6,"VISA, CARTE_BANCAIRE"
497481,6,"VISA, CARTE_BANCAIRE"
497477,6,"VISA, CARTE_BANCAIRE"
497472,6,"VISA, CARTE_BANCAIRE"
497471,6,"VISA, CARTE_BANCAIRE"
497468,6,"VISA, CARTE_BANCAIRE"
497465,6,"VISA, CARTE_BANCAIRE"
497464,6,"VISA, CARTE_BANCAIRE"
497456,6,"VISA, CARTE_BANCAIRE"
497455,6,"VISA, CARTE_BANCAIRE"
497452,6,"VISA, CARTE_BANCAIRE"
497451,6,"VISA, CARTE_BANCAIRE"
497450,6,"VISA, CARTE_BANCAIRE"
497449,6,"VISA, CARTE_BANCAIRE"
497416,6,"VISA, CARTE_BANCAIRE"
497414,6,"VISA, CARTE_BANCAIRE"
497413,6,"VISA, CARTE_BANCAIRE"
497412,6,"VISA, CARTE_BANCAIRE"
497411,6,"VISA, CARTE_BANCAIRE"
497408,6,"VISA, CARTE_BANCAIRE"
497407,6,"VISA, CARTE_BANCAIRE"
497406,6,"VISA, CARTE_BANCAIRE"
497405,6,"VISA, CARTE_BANCAIRE"
497404,6,"VISA, CARTE_BANCAIRE"
497403,6,"VISA, CARTE_BANCAIRE"
497402,6,"VISA, CARTE_BANCAIRE"
497401,6,"VISA, CARTE_BANCAIRE"
497400,6,"VISA, CARTE_BANCAIRE"
497396,6,"VISA, CARTE_BANCAIRE"
497395,6,"VISA, CARTE_BANCAIRE"
497394,6,"VISA, CARTE_BANCAIRE"
497389,6,"VISA, CARTE_BANCAIRE"
497388,6,"VISA, CARTE_BANCAIRE"
497386,6,"VISA, CARTE_BANCAIRE"
497383,6,"VISA, CARTE_BANCAIRE"
497379,6,"VISA, CARTE_BANCAIRE"
497378,6,"VISA, CARTE_BANCAIRE"
497377,6,"VISA, CARTE_BANCAIRE"
497376,6,"VISA, CARTE_BANCAIRE"
497374,6,"VISA, CARTE_BANCAIRE"
497373,6,"VISA, CARTE_BANCAIRE"
497372,6,"VISA, CARTE_BANCAIRE"
497369,6,"VISA, CARTE_BANCAIRE"
497367,6,"VISA, CARTE_BANCAIRE"
497366,6,"VISA, CARTE_BANCAIRE"
497361,6,"VISA, CARTE_BANCAIRE"
497360,6,"VISA, CARTE_BANCAIRE"
497353,6,"VISA, CARTE_BANCAIRE"
497351,6,"VISA, CARTE_BANCAIRE"
497350,6,"VISA, CARTE_BANCAIRE"
497337,6,"VISA, CARTE_BANCAIRE"
497328,6,"VISA, CARTE_BANCAIRE"
497326,6,"VISA, CARTE_BANCAIRE"
497322,6,"VISA, CARTE_BANCAIRE"
497319,6,"VISA, CARTE_BANCAIRE"
497318,6,"VISA, CARTE_BANCAIRE"
497316,6,"VISA, CARTE_BANCAIRE"
497315,6,"VISA, CARTE_BANCAIRE"
497312,6,"VISA, CARTE_BANCAIRE"
497310,6,"VISA, CARTE_BANCAIRE"
497309,6,"VISA, CARTE_BANCAIRE"
497308,6,CARTE_BANCAIRE
497307,6,"VISA, CARTE_BANCAIRE"
497306,6,"VISA, CARTE_BANCAIRE"
497304,6,"VISA, CARTE_BANCAIRE"
497303,6,CARTE_BANCAIRE
497300,6,"VISA, CARTE_BANCAIRE"
497291,6,"VISA, CARTE_BANCAIRE"
497288,6,"VISA, CARTE_BANCAIRE"
497281,6,"VISA, CARTE_BANCAIRE"
497278,6,"VISA, CARTE_BANCAIRE"
497276,6,"VISA, CARTE_BANCAIRE"
497272,6,"VISA, CARTE_BANCAIRE"
497266,6,"VISA, CARTE_BANCAIRE"
497264,6,"VISA, CARTE_BANCAIRE"
497260,6,"VISA, CARTE_BANCAIRE"
497255,6,"VISA, CARTE_BANCAIRE"
497253,6,"VISA, CARTE_BANCAIRE"
497252,6,"VISA, CARTE_BANCAIRE"
497249,6,"VISA, CARTE_BANCAIRE"
497246,6,"VISA, CARTE_BANCAIRE"
497245,6,"VISA, CARTE_BANCAIRE"
497243,6,"VISA, CARTE_BANCAIRE"
497238,6,"VISA, CARTE_BANCAIRE"
497234,6,"VISA, CARTE_BANCAIRE"
497231,6,"VISA, CARTE_BANCAIRE"
497230,6,"VISA, CARTE_BANCAIRE"
497227,6,"VISA, CARTE_BANCAIRE"
497226,6,"VISA, CARTE_BANCAIRE"
497222,6,"VISA, CARTE_BANCAIRE"
497210,6,"VISA, CARTE_BANCAIRE"
497208,6,"VISA, CARTE_BANCAIRE"
497207,6,"VISA, CARTE_BANCAIRE"
497204,6,"VISA, CARTE_BANCAIRE"
497203,6,"VISA, CARTE_BANCAIRE"
497202,6,"VISA, CARTE_BANCAIRE"
497201,6,"VISA, CARTE_BANCAIRE"
497197,6,"VISA, CARTE_BANCAIRE"
497196,6,"VISA, CARTE_BANCAIRE"
497191,6,"VISA, CARTE_BANCAIRE"
497190,6,"VISA, CARTE_BANCAIRE"
497179,6,"VISA, CARTE_BANCAIRE"
497177,6,"VISA, CARTE_BANCAIRE"
497169,6,"VISA, CARTE_BANCAIRE"
497168,6,"VISA, CARTE_BANCAIRE"
497167,6,"VISA, CARTE_BANCAIRE"
497166,6,"VISA, CARTE_BANCAIRE"
497164,6,"VISA, CARTE_BANCAIRE"
497155,6,"VISA, CARTE_BANCAIRE"
497152,6,"VISA, CARTE_BANCAIRE"
497144,6,"VISA, CARTE_BANCAIRE"
497139,6,"VISA, CARTE_BANCAIRE"
497138,6,"VISA, CARTE_BANCAIRE"
497134,6,"VISA, CARTE_BANCAIRE"
497132,6,"VISA, CARTE_BANCAIRE"
497129,6,"VISA, CARTE_BANCAIRE"
497121,6,"VISA, CARTE_BANCAIRE"
497118,6,"VISA, CARTE_BANCAIRE"
497117,6,"VISA, CARTE_BANCAIRE"
497116,6,"VISA, CARTE_BANCAIRE"
497110,6,"VISA, CARTE_BANCAIRE"
497109,6,"VISA, CARTE_BANCAIRE"
497108,6,"VISA, CARTE_BANCAIRE"
497107,6,"VISA, CARTE_BANCAIRE"
497101,6,"VISA, CARTE_BANCAIRE"
497079,6,"VISA, CARTE_BANCAIRE"
497074,6,"VISA, CARTE_BANCAIRE"
497061,6,"VISA, CARTE_BANCAIRE"
497060,6,"VISA, CARTE_BANCAIRE"
497053,6,"VISA, CARTE_BANCAIRE"
497052,6,"VISA, CARTE_BANCAIRE"
497051,6,"VISA, CARTE_BANCAIRE"
497049,6,"VISA, CARTE_BANCAIRE"
497048,6,"VISA, CARTE_BANCAIRE"
497047,6,"VISA, CARTE_BANCAIRE"
497046,6,"VISA, CARTE_BANCAIRE"
497045,6,"VISA, CARTE_BANCAIRE"
497044,6,"VISA, CARTE_BANCAIRE"
