bin_number,bin_length,cartes_bancaires_network,active_merchant_network,bin_to_store_in_active_merchant
497146100,9,"VISA, CARTE_BANCAIRE",visa,497146
497146024,9,"VISA, CARTE_BANCAIRE",visa,497146
497159219,9,"VISA, CARTE_BANCAIRE",visa,497159
456138028,9,"VISA, CARTE_BANCAIRE",visa,456138
456138018,9,"VISA, CARTE_BANCAIRE",visa,456138
497160025,9,"VISA, CARTE_BANCAIRE",visa,497160
497160118,9,"VISA, CARTE_BANCAIRE",visa,497160
497160063,9,"VISA, CARTE_BANCAIRE",visa,497160
456100026,9,"VISA, CARTE_BANCAIRE",visa,456100
497141012,9,"VISA, CARTE_BANCAIRE",visa,497141
456100318,9,"VISA, CARTE_BANCAIRE",visa,456100
456111017,9,"VISA, CARTE_BANCAIRE",visa,456111
497899286,9,"VISA, CARTE_BANCAIRE",visa,497899
497899266,9,"VISA, CARTE_BANCAIRE",visa,497899
456139490,9,"VISA, CARTE_BANCAIRE",visa,456139
456139495,9,"VISA, CARTE_BANCAIRE",visa,456139
456139494,9,"VISA, CARTE_BANCAIRE",visa,456139
456139499,9,"VISA, CARTE_BANCAIRE",visa,456139
456139498,9,"VISA, CARTE_BANCAIRE",visa,456139
456139497,9,"VISA, CARTE_BANCAIRE",visa,456139
456139496,9,"VISA, CARTE_BANCAIRE",visa,456139
456139491,9,"VISA, CARTE_BANCAIRE",visa,456139
456139493,9,"VISA, CARTE_BANCAIRE",visa,456139
456139492,9,"VISA, CARTE_BANCAIRE",visa,456139
497662005,9,"VISA, CARTE_BANCAIRE",visa,497662
497662007,9,"VISA, CARTE_BANCAIRE",visa,497662
497662001,9,"VISA, CARTE_BANCAIRE",visa,497662
497662008,9,"VISA, CARTE_BANCAIRE",visa,497662
497662002,9,"VISA, CARTE_BANCAIRE",visa,497662
497662006,9,"VISA, CARTE_BANCAIRE",visa,497662
497662004,9,"VISA, CARTE_BANCAIRE",visa,497662
497662000,9,"VISA, CARTE_BANCAIRE",visa,497662
497662009,9,"VISA, CARTE_BANCAIRE",visa,497662
497662003,9,"VISA, CARTE_BANCAIRE",visa,497662
497477206,9,"VISA, CARTE_BANCAIRE",visa,497477
497477209,9,"VISA, CARTE_BANCAIRE",visa,497477
497477200,9,"VISA, CARTE_BANCAIRE",visa,497477
497477205,9,"VISA, CARTE_BANCAIRE",visa,497477
497477208,9,"VISA, CARTE_BANCAIRE",visa,497477
497477202,9,"VISA, CARTE_BANCAIRE",visa,497477
497477204,9,"VISA, CARTE_BANCAIRE",visa,497477
497477207,9,"VISA, CARTE_BANCAIRE",visa,497477
497477203,9,"VISA, CARTE_BANCAIRE",visa,497477
497477201,9,"VISA, CARTE_BANCAIRE",visa,497477
401006803,9,"VISA, CARTE_BANCAIRE",visa,401006
401005803,9,"VISA, CARTE_BANCAIRE",visa,401005
497801100,9,"VISA, CARTE_BANCAIRE",visa,497801
497801510,9,"VISA, CARTE_BANCAIRE",visa,497801
497801160,9,"VISA, CARTE_BANCAIRE",visa,497801
497801130,9,"VISA, CARTE_BANCAIRE",visa,497801
497801260,9,"VISA, CARTE_BANCAIRE",visa,497801
497801330,9,"VISA, CARTE_BANCAIRE",visa,497801
497801390,9,"VISA, CARTE_BANCAIRE",visa,497801
497801230,9,"VISA, CARTE_BANCAIRE",visa,497801
497801080,9,"VISA, CARTE_BANCAIRE",visa,497801
497801240,9,"VISA, CARTE_BANCAIRE",visa,497801
497801170,9,"VISA, CARTE_BANCAIRE",visa,497801
497801400,9,"VISA, CARTE_BANCAIRE",visa,497801
497801280,9,"VISA, CARTE_BANCAIRE",visa,497801
497801220,9,"VISA, CARTE_BANCAIRE",visa,497801
497801030,9,"VISA, CARTE_BANCAIRE",visa,497801
497801050,9,"VISA, CARTE_BANCAIRE",visa,497801
497801070,9,"VISA, CARTE_BANCAIRE",visa,497801
439603830,9,"VISA, CARTE_BANCAIRE",visa,439603
439598400,9,"VISA, CARTE_BANCAIRE",visa,439598
456211842,9,"VISA, CARTE_BANCAIRE",visa,456211
456274820,9,"VISA, CARTE_BANCAIRE",visa,456274
455679804,9,"VISA, CARTE_BANCAIRE",visa,455679
401005839,9,"VISA, CARTE_BANCAIRE",visa,401005
469830858,9,"VISA, CARTE_BANCAIRE",visa,469830
469830823,9,"VISA, CARTE_BANCAIRE",visa,469830
469829822,9,"VISA, CARTE_BANCAIRE",visa,469829
469829820,9,"VISA, CARTE_BANCAIRE",visa,469829
469829807,9,"VISA, CARTE_BANCAIRE",visa,469829
401005815,9,"VISA, CARTE_BANCAIRE",visa,401005
469830851,9,"VISA, CARTE_BANCAIRE",visa,469830
497678805,9,"VISA, CARTE_BANCAIRE",visa,497678
456211844,9,"VISA, CARTE_BANCAIRE",visa,456211
456211850,9,"VISA, CARTE_BANCAIRE",visa,456211
456274847,9,"VISA, CARTE_BANCAIRE",visa,456274
469807859,9,"VISA, CARTE_BANCAIRE",visa,469807
469807802,9,"VISA, CARTE_BANCAIRE",visa,469807
456273825,9,"VISA, CARTE_BANCAIRE",visa,456273
456225825,9,"VISA, CARTE_BANCAIRE",visa,456225
456273801,9,"VISA, CARTE_BANCAIRE",visa,456273
401006849,9,"VISA, CARTE_BANCAIRE",visa,401006
469805858,9,"VISA, CARTE_BANCAIRE",visa,469805
401006842,9,"VISA, CARTE_BANCAIRE",visa,401006
497641800,9,"VISA, CARTE_BANCAIRE",visa,497641
455679801,9,"VISA, CARTE_BANCAIRE",visa,455679
401005837,9,"VISA, CARTE_BANCAIRE",visa,401005
401005833,9,"VISA, CARTE_BANCAIRE",visa,401005
401005846,9,"VISA, CARTE_BANCAIRE",visa,401005
401005852,9,"VISA, CARTE_BANCAIRE",visa,401005
401005814,9,"VISA, CARTE_BANCAIRE",visa,401005
469830808,9,"VISA, CARTE_BANCAIRE",visa,469830
469830812,9,"VISA, CARTE_BANCAIRE",visa,469830
469830853,9,"VISA, CARTE_BANCAIRE",visa,469830
469830827,9,"VISA, CARTE_BANCAIRE",visa,469830
469829840,9,"VISA, CARTE_BANCAIRE",visa,469829
469830830,9,"VISA, CARTE_BANCAIRE",visa,469830
401005831,9,"VISA, CARTE_BANCAIRE",visa,401005
469830809,9,"VISA, CARTE_BANCAIRE",visa,469830
469830842,9,"VISA, CARTE_BANCAIRE",visa,469830
469830832,9,"VISA, CARTE_BANCAIRE",visa,469830
401005812,9,"VISA, CARTE_BANCAIRE",visa,401005
401005836,9,"VISA, CARTE_BANCAIRE",visa,401005
469829847,9,"VISA, CARTE_BANCAIRE",visa,469829
456274840,9,"VISA, CARTE_BANCAIRE",visa,456274
456211833,9,"VISA, CARTE_BANCAIRE",visa,456211
469807846,9,"VISA, CARTE_BANCAIRE",visa,469807
456225832,9,"VISA, CARTE_BANCAIRE",visa,456225
456274832,9,"VISA, CARTE_BANCAIRE",visa,456274
456274830,9,"VISA, CARTE_BANCAIRE",visa,456274
